name,ingredients,cuisine,course,diet,instructions,prep_time,ingredients_clean,combined_features
dum pukht gosht recipe - slow cooked mutton curry,"500 grams mutton 1-1/2 cups curd (dahi / yogurt) 2 cardamom (elaichi) pods/seeds 1 brown cardamom (badi elaichi) 1 teaspoon black pepper corns 4 cloves (laung) 1 inch cinnamon stick (dalchini) 1 teaspoon cumin seeds (jeera) 1 onion , sliced 8 cloves garlic 1 inch ginger 4 green chillies 1-1/2 teaspoons coriander (dhania) powder 1 teaspoon red chilli powder 1/2 teaspoon turmeric powder (haldi) 1/2 teaspoon garam masala powder 1/4 cup coriander (dhania) leaves ghee , for cooking to seal the vessel 2 cups whole wheat flour water , for kneading",lucknowi,lunch,non vegeterian,"to begin making dum pukht gosht we will first prepare the ingredients required for marinating the mutton. heat ghee in a preheated pan; add the onions and saute until the onion turn golden brown.once the onions have started to turn golden brown add all the whole spices, black cardamom, green cardamom, cloves, cinnamon stick, peppercorn and saute till the spices release a nice aroma. turn off the heat and let it cool.once cooled add the caramelized onions and the whole spices to a mixer grinder. add the garlic, ginger, green chillies and half the curd and grind to a smooth paste. marinate the mutton with the above ground spice curd and onion mixture. add the remaining curd, chilli powder, turmeric powder, coriander powder,garam masala powder, salt to taste to the above mutton and marinate it in the refrigerator for two hours or overnight.you can marinate the meat longer to get maximum flavour in the dish. while the mutton is marinating knead the dough that you need to seal the vessel in which you are going to cook the gosht in. the dough should be a bit stiff, like how you knead for puris.*to make the dum pukht goshtonce the mutton has marinated, preheat a heavy bottomed vessel or handi and add some ghee.add the marinated mutton in the handi and saute for a few minutes till the marinated mutton leaves oil on the sides. this will take about 10 minutes. add one glass of water and bring the mutton gosht to a boil.cover the handi with a lid and seal it with the wheat dough and leave the mutton gosht cook on low heat for about 50 minutes. this process of covering and sealing the lid with the dough is called ""dum cooking"" - a very slow cooking process that brings in flavours to the dish.after about one hour turn off the heat and remove the dough on the lid with the help of a kitchen knife.you will notice the dum pukht gosht has a rich colour and taste with all the natural oils from the the mutton released into the dish. give it a stir and adjust the salt accordingly. transfer the dum pukht gosht into a serving dish and garnish with coriander leaves and serve hot.serve dum pukht gosht with hot with mande roti or butter garlic naan and tomato onion cucumber raita for a weekend lunch or dinner. you can even serve it at your next dinner party.",Total in 75 M,grams mutton cups yogurt dahi yogurt cardamom elaichi podsseeds brown cardamom badi elaichi teaspoon black pepper corns cloves laung inch cinnamon stick dalchini teaspoon cumin seeds jeera onion sliced cloves garlic inch ginger green chili teaspoons coriander dhania powder teaspoon red chilli powder teaspoon turmeric powder haldi teaspoon garam masala powder cup coriander dhania leaves ghee for cooking to seal the vessel cups whole wheat flour water for kneading,grams mutton cups yogurt dahi yogurt cardamom elaichi podsseeds brown cardamom badi elaichi teaspoon black pepper corns cloves laung inch cinnamon stick dalchini teaspoon cumin seeds jeera onion sliced cloves garlic inch ginger green chili teaspoons coriander dhania powder teaspoon red chilli powder teaspoon turmeric powder haldi teaspoon garam masala powder cup coriander dhania leaves ghee for cooking to seal the vessel cups whole wheat flour water for kneading lucknowi non vegeterian lunch
sindhi pakwan recipe - crisp delicious puri,"1 cup whole wheat flour 1 cup all purpose flour (maida) 1 teaspoon ajwain (carom seeds) 1 teaspoon cumin seeds (jeera) 2 tablespoons ghee salt , as needed oil , for deep frying",sindhi,north indian breakfast,vegetarian,"to begin making the sindhi pakwan, sift both the flours together. add ajwain, cumin, salt and ghee and mix all together into the flour. knead the flour into a smooth dough adding water little at a time.preheat the oil for deep frying.divide the pakwan dough into equal lemon size portions.dust the surface with flour and roll the pakwan dough into a small disc.use a fork and mark impressions on the rolled pakwan. pierce from both sides, this will prevent the pakwan from puffing up.place the pakwans into the preheated oil and deep fry on low to medium heat until golden brown and crisp on both sides. transfer the fried pakwan on a kitchen paper towels to drain the excess oil.serve the sindhi pakwan hot along with sindhi chana dal for a wholesome breakfast or dinner.",Total in 45 M,cup whole wheat flour cup all purpose flour maida teaspoon ajwain carom seeds teaspoon cumin seeds jeera tablespoons ghee salt as needed oil for deep frying,cup whole wheat flour cup all purpose flour maida teaspoon ajwain carom seeds teaspoon cumin seeds jeera tablespoons ghee salt as needed oil for deep frying sindhi vegetarian north indian breakfast
kerala style duck curry with coconut milk recipe,"for marinating 1 kg duck , with skin cut into small pieces 2 teaspoon whole black peppercorns , crushed 2 teaspoon vinegar 3/4 teaspoon turmeric powder (haldi) 3 tablespoon coconut oil 3 green chillies , finely chopped salt , to taste for the curry 1/4 cup shallots , finely sliced 3 dry red chillies , broken into two pieces 1 teaspoon mustard seeds (rai/ kadugu) 1/4 teaspoon methi seeds (fenugreek seeds) 3 sprig curry leaves 2 green chillies , slit lengthwise 2 tablespoon coconut oil 1 tablespoon ghee 1 onion , finely, sliced 1 tomato , sliced 1 inch ginger , chopped 2 cloves garlic , chopped 2 cups coconut milk , semi thick (2nd extract) 1 cup coconut milk , thick (1st extract) 1/2 teaspoon turmeric powder (haldi) 2 teaspoon coriander powder (dhania) 1 teaspoon red chilli powder 3 teaspoon garam masala powder 1 teaspoon fennel powder 1 cardamom (elaichi) pods/seeds",kerala recipes,lunch,non vegeterian,"we begin making the kerala style duck curry with coconut milk recipe by cleaning the duck and cutting them into small curry size pieces. then add all the marination ingredients. marinate the duck for 30 minutes and keep it aside.after 30 minutes, add oil , ghee and 1 cup of the 2nd extract of coconut milk, 2 cups of water and cook the marinated duck in a pressure cooker for about 5-6 whistles in high heat.heat another pan, pour coconut oil and ghee. add mustard seeds and when it starts to splutter, add fenugreek seeds, sliced shallots, curry leaves, dried red chilly,chopped ginger,garlic and saute for couple of minutes.add chopped onions, green chillies, tomatoes; saute till onions turn translucent and light brown color.now add in coriander and red chilli powder and combine well. then pour the remaining 1 cup of the 2nd extract of coconut milknow add the cooked duck along with the stock(cooked water of the duck). combine well, then add garam masala powder, cardamom pods. close with a lid and cook for 5 minutes. finally add the first extract of the thick coconut milk and check for salt, keep the flame on very low and cook it for another 5 minutes and serve. serve the kerala style duck curry with coconut milk recipe along with steamed rice recipe (pressure cooker & sauce pan methods) and kerala style appam recipe (fermented rice pancakes with coconut).",Total in 75 M,for marinating kg duck with skin cut into small pieces teaspoon whole black peppercorns crushed teaspoon vinegar teaspoon turmeric powder haldi tablespoon coconut oil green chili finely chopped salt to taste for the curry cup shallots finely sliced dry red chili broken into two pieces teaspoon mustard seeds rai kadugu teaspoon methi seeds fenugreek seeds sprig curry leaves green chili slit lengthwise tablespoon coconut oil tablespoon ghee onion finely sliced tomato sliced inch ginger chopped cloves garlic chopped cups coconut milk semi thick nd extract cup coconut milk thick st extract teaspoon turmeric powder haldi teaspoon coriander powder dhania teaspoon red chilli powder teaspoon garam masala powder teaspoon fennel powder cardamom elaichi podsseeds,for marinating kg duck with skin cut into small pieces teaspoon whole black peppercorns crushed teaspoon vinegar teaspoon turmeric powder haldi tablespoon coconut oil green chili finely chopped salt to taste for the curry cup shallots finely sliced dry red chili broken into two pieces teaspoon mustard seeds rai kadugu teaspoon methi seeds fenugreek seeds sprig curry leaves green chili slit lengthwise tablespoon coconut oil tablespoon ghee onion finely sliced tomato sliced inch ginger chopped cloves garlic chopped cups coconut milk semi thick nd extract cup coconut milk thick st extract teaspoon turmeric powder haldi teaspoon coriander powder dhania teaspoon red chilli powder teaspoon garam masala powder teaspoon fennel powder cardamom elaichi podsseeds kerala recipes non vegeterian lunch
"south indian paniyaram recipe - 3 types - classic, carrot & spinach","3 cups idli dosa batter 2 cups carrots (gajjar) , grated 2 cups spinach , finely chopped salt , to taste classic paniyaram masala 2 teaspoons mustard seeds (rai/ kadugu) 4 green chillies , finely chopped 2 cups pearl onions (sambar onions) , finely chopped 1/4 cup coriander (dhania) leaves , finely chopped oil , for shallow frying",south indian recipes,south indian breakfast,vegetarian,"to begin making paniyaram with idli/dosa batter recipe, prep all the ingredients and keep them ready.have the dosa batter ready - it's the classic dosa batter from idli rice and urad dal, soaked ground and fermented. my next step is to prep all 3 variants and add to the batter and make paniyarams in a paniyaram pan. first to cook the carrots, heat oil in over medium heat in a pan; add the carrots and saute until the carrots turn soft. turn off the heat and allow the carrots to cool. don't add any salt as yet, as the dosa batter has a little salt.next cook the spinach; heat oil over medium heat in a pan; add the spinach and saute until the spinach wilts completely and once done, turn off the heat and keep aside to cool.once cooled, add the carrots to the mixer grinder along with 1 cup of the dosa batter, pinch of salt and blend to make a smooth batter. the reason i am blending with the batter is, i don’t have to add any additional water to the batter for grinding.next for the spinach, add the spinach to the mixer grinder along with 1 cup of the dosa batter, pinch of salt and blend to make a smooth batter. keep both batters aside.the next step is to make spicy masala which will go into all three batters. heat oil in a pan, add the mustard seeds and allow it to crackle. add the curry leaves, green chillies and chopped onion. saute until the onion softens and turns lightly golden brown.once done, turn off the heat.divide this into 3 portions and add into the 3 batters (plain, carrot and spinach). check the salt if required and add to taste.the final step is to cook the paniyarams.add oil into each of the cavities. spoon the batters into the cavity . cover with a lid and steam until the top gets cooked.once the top is steamed, open the lid and flip the paniyam and cook on the other side until golden and lightly crisp. transfer the paniyaram to a serving bow and serve it along with chutney for a hearty breakfast or even a snack.and this chutney is super simple to make - fresh grated coconut, along with a handful of almonds, a couple of green chillies, an inch piece ginger, salt and lemon. blend using the mixer grinder and voila your chutney is ready in two minutes.and one small tip, if your coconut is cold or frozen, use warm water for grinding this chutney, you get the perfect texture.serve masala paniyaram with idli/dosa batter recipe with coconut chutney and filter coffee as a tea time snack.",Total in 30 M,cups idli dosa batter cups carrots gajjar grated cups spinach finely chopped salt to taste classic paniyaram masala teaspoons mustard seeds rai kadugu green chili finely chopped cups pearl onion sambar onion finely chopped cup coriander dhania leaves finely chopped oil for shallow frying,cups idli dosa batter cups carrots gajjar grated cups spinach finely chopped salt to taste classic paniyaram masala teaspoons mustard seeds rai kadugu green chili finely chopped cups pearl onion sambar onion finely chopped cup coriander dhania leaves finely chopped oil for shallow frying south indian recipes vegetarian south indian breakfast
gutti dondakaya vepudu recipe - stuffed ivy gourds | stuffed tendli | kovakkai,"500 grams tindora (dondakaya/ kovakkai) , slit length wise 1/2 teaspoon mustard seeds (rai/ kadugu) 1/2 teaspoon cumin seeds (jeera) 2 dry red chillies 1/4 teaspoon asafoetida (hing) , a pinch 1 sprig curry leaves 2 tablespoons oil 1/2 teaspoon turmeric powder (haldi) salt , to taste to roast and ground to a course mix 2 tablespoons white urad dal (split) 4 tablespoons chana dal (bengal gram dal) 2 tablespoons coriander (dhania) seeds 1 teaspoon cumin seeds (jeera) 2 tablespoons sesame seeds (til seeds) 4 dry red chillies 1/4 cup fresh coconut , grated",andhra,main course,vegetarian,"to begin making gutti dondakaya vepudu recipe, wash, drain and wipe the ivy gourds dry with a kitchen towel.now make a long cross slit on each dondakaya/ kovakkai/ tendli length wise, keeping the base and shape of each vegetable intact and keep aside.next step is to make the dondakaya vepudu for which we have to grind the fresh masala. heat a pan over medium heat, add the chana dal and urad dal and roast until golden brown and crisp.stir in the coriander seeds, sesame seeds, cumin seeds, red chillies until the coriander and sesame start popping and releasing a roasted aroma.finally stir in the coconut and roast until it turns lightly golden. turn off the heat and allow the masala to cool. into the small jar of the mixer grinder add the roasted masala, along with a little salt and grind into a coarse powder. transfer masala into a bowl and set aside. now, fill the slit dondakaya/ kovakkai/ tendli with the roasted masala and keep aside.heat oil in a wide pan on medium heat; add the mustard seeds cumin seeds, and allow it to crackle. add the asafoetida, curry leaves and red chillies and roast for a few seconds. add the stuffed dondakaya/ kovakkai/ tendli to the pan, stir in the same, turmeric powder, gently stir, add 1/4 cup of water and cover the pan. turn the heat to low and cook until the dondakaya vepudu is done. you can also alternatively, place the whole mixture into the pressure cooker with 2 tablespoons of water and pressure cook for 3 to 4 whistles and turn off the heat. release the pressure immediately and then stir fry in the open until all the masala comes together. once done, turn off the heat and transfer the gutti dondakaya vepudu to serving bowl and serve hot.serve the gutti dondakaya vepudu recipe along with steamed rice and andhra style pappu charu recipe for the weeknight dinner.",Total in 35 M,grams tindora dondakaya kovakkai slit length wise teaspoon mustard seeds rai kadugu teaspoon cumin seeds jeera dry red chili teaspoon asafoetida hing a pinch sprig curry leaves tablespoons oil teaspoon turmeric powder haldi salt to taste to roast and ground to a course mix tablespoons white urad dal split tablespoons chana dal bengal gram dal tablespoons coriander dhania seeds teaspoon cumin seeds jeera tablespoons sesame seeds til seeds dry red chili cup fresh coconut grated,grams tindora dondakaya kovakkai slit length wise teaspoon mustard seeds rai kadugu teaspoon cumin seeds jeera dry red chili teaspoon asafoetida hing a pinch sprig curry leaves tablespoons oil teaspoon turmeric powder haldi salt to taste to roast and ground to a course mix tablespoons white urad dal split tablespoons chana dal bengal gram dal tablespoons coriander dhania seeds teaspoon cumin seeds jeera tablespoons sesame seeds til seeds dry red chili cup fresh coconut grated andhra vegetarian main course
milagu rasam recipe - miriyala charu | pepper rasam with fresh ground rasam powder,"1/4 cup arhar dal (split toor dal) 1 cup tamarind water 2 tomatoes , quartered 1/4 teaspoon turmeric powder (haldi) 1 teaspoon jaggery salt , to taste 6 sprig coriander (dhania) leaves , chopped for garnish for the rasam powder 2 teaspoons whole black peppercorns 1 teaspoon cumin seeds (jeera) 1 tablespoon coriander (dhania) seeds 1 teaspoon arhar dal (split toor dal) 1/4 teaspoon methi seeds (fenugreek seeds) for seasoning/ tadka 1 tablespoon ghee 1/2 teaspoon mustard seeds (rai/ kadugu) 1/2 teaspoon cumin seeds (jeera) 1/2 teaspoon asafoetida (hing) 1 sprig curry leaves",south indian recipes,lunch,vegetarian,"to begin with milagu rasam/ miriyala charu, prepare all the ingredients and keep ready.cook the toor dal in 1 cup of water in the pressure cooker for 3 to 4 whistles and simmer for couple of minutes and turn off the heat. allow the pressure to release naturally and once done, mash the dal well and keep aside.first step is to make the fresh rasam powder. heat a pan over medium heat; add the toor dal and roast on medium heat until golden. add the coriander seeds, cumin seeds, methi seeds and black pepper. roast for about a minute until the seeds start crackling and start releasing an aroma.once done, turn off the heat and allow it to cool.into the small jar of the mixer grinder add the roasted ingredients and grind into a coarse powder. the next step is to make the pepper rasam/ miriyala charu. into a deep dish, add 3 cups of water, chopped tomatoes, tamarind extract, salt, turmeric powder, salt and jaggery and bring to a boil. continue to boil for 4 to 5 minutes until the tomatoes soften. once the tomatoes soften, add the ground fresh rasam powder and mashed dal and boil for another 5 minutes until you notice the water begins to froth. the final step is the seasoning. heat ghee in a pan over medium heat; add mustard and cumin seeds and allow it crackle. add the asafoetida and curry leaves and give it a stir.pour the seasoning over the milagu rasam/ miriyala charu and give it a brisk boil for a couple of minutes. turn off the heat and stir in the chopped coriander leaves.serve the milagu rasam/ miriyala charu along with steamed rice, dondakaya vepudu and elai vadam or you can also have serve it as a soup.",Total in 40 M,cup arhar dal split toor dal cup tamarind water tomato quartered teaspoon turmeric powder haldi teaspoon jaggery salt to taste sprig coriander dhania leaves chopped for garnish for the rasam powder teaspoons whole black peppercorns teaspoon cumin seeds jeera tablespoon coriander dhania seeds teaspoon arhar dal split toor dal teaspoon methi seeds fenugreek seeds for seasoning tadka tablespoon ghee teaspoon mustard seeds rai kadugu teaspoon cumin seeds jeera teaspoon asafoetida hing sprig curry leaves,cup arhar dal split toor dal cup tamarind water tomato quartered teaspoon turmeric powder haldi teaspoon jaggery salt to taste sprig coriander dhania leaves chopped for garnish for the rasam powder teaspoons whole black peppercorns teaspoon cumin seeds jeera tablespoon coriander dhania seeds teaspoon arhar dal split toor dal teaspoon methi seeds fenugreek seeds for seasoning tadka tablespoon ghee teaspoon mustard seeds rai kadugu teaspoon cumin seeds jeera teaspoon asafoetida hing sprig curry leaves south indian recipes vegetarian lunch
south indian poli recipe - boli | obbattu | bobbatlu | holige,"ingredients for the dough 1-/2 cups whole wheat flour 1/4 teaspoon turmeric powder (haldi) 1 tablespoon oil ghee , for serving ingredients for the filling 1 cup arhar dal (split toor dal) , or chana dal 1-1/2 cups jaggery 1/2 cup fresh coconut , optional 1 teaspoon cardamom powder (elaichi)",south indian recipes,dessert,vegetarian,"to begin making south indian poli / obbattu / holige recipe, we will first make the dough for the poli.add flour and turmeric powder into a large bowl; combine it with little water at a time and knead until the dough gathers together to form a firm dough mixture.add the 1 tablespoon of oil to coat the dough and knead for a couple of more minutes until smooth and firm. cover and let the dough sit in a cool place until we get the lentil filling ready.cook chana dal or toor dal with 1 to 1-1/4 cups of water until soft and is well cooked. drain any excess water from the dal and keep aside.heat ghee in a pan on medium heat, add the jaggery and stir until the jaggery dissolves completely.stir in the cooked lentils, coconut and cardamom to the jaggery mixture until well combined.continue stirring the mixture until the filling mixture begins to thicken and leaves the sides of the pan. at this point turn off the heat and allow the filling mixture (puran) to cool completely.divide the dough and puran mixture into 12 portions.keeping a little flour for dusting handy on a plate; roll out the dough into 3 inch diameter circles. place a portion of the poli/ holige/ obbattu filling (puran mixture) into the center of the circle.bring edges of the circle towards the center and fold over to cover the entire filling; making sure the edges are all sealed well by pinching them together if there is any opening.flatten the stuffed dough; dust the dough over a little flour and roll gently into a 6 to 8 inch diameter circle taking care not to put too much pressure as the filling can come out of the dough.preheat an iron skillet on medium high; place the rolled poli/ holige/ obbattu onto the skillet to cook until golden brown on both sides. you can cook the poli/ holige/ obbattu with ghee to give it a richer taste and flavor.repeat the above process for all the remaining dough and puran portions.serve south indian puran poli/ holige/ obbattu hot with ghee smeared on the top during festivals and special occasions in your family.",Total in 120 M,ingredients for the dough cups whole wheat flour teaspoon turmeric powder haldi tablespoon oil ghee for serving ingredients for the filling cup arhar dal split toor dal or chana dal cups jaggery cup fresh coconut optional teaspoon cardamom powder elaichi,ingredients for the dough cups whole wheat flour teaspoon turmeric powder haldi tablespoon oil ghee for serving ingredients for the filling cup arhar dal split toor dal or chana dal cups jaggery cup fresh coconut optional teaspoon cardamom powder elaichi south indian recipes vegetarian dessert
ajwaini tamatar bhindi recipe,"500 grams bhindi (lady finger/okra) 2 teaspoons ajwain (carom seeds) 1/4 teaspoon asafoetida (hing) 1 teaspoon red chilli powder 1 cup homemade tomato puree 1 teaspoon sugar 2 tablespoons cashew nuts , soaked and ground to paste salt , to taste",indian,lunch,no onion no garlic (sattvic),"to begin making the ajwaini tamatar bhindi recipe, cut bhindi into half. make sure bhindi should not be wet, dry them properly.heat oil in a heavy bottomed pan, add bhindi and stir them for a couple of minutes. cook them on medium flame.cover the lid and let it cook until done, keep stirring it in between.once it is done, take it out from the wok.heat oil in the same heavy bottomed pan again for the gravy.once the oil is hot, add ajwain seeds and asafoetida powder.after a minute, add pureed tomatoes and the required red chilli powder.let it cook on medium flame until the puree gets done. add sugar, salt to taste and let it cook for some more time.finally add the cashew paste, add salt, pre cooked bhindi and mix everything properly. let the ajwaini tamatar bhindi cook for 5 more minutes and then serve hot.serve ajwaini tamatar bhindi with butter garlic naan and boondi raita for a perfect weekday lunch.",Total in 40 M,grams bhindi lady fingerokra teaspoons ajwain carom seeds teaspoon asafoetida hing teaspoon red chilli powder cup homemade tomato puree teaspoon sugar tablespoons cashew nuts soaked and ground to paste salt to taste,grams bhindi lady fingerokra teaspoons ajwain carom seeds teaspoon asafoetida hing teaspoon red chilli powder cup homemade tomato puree teaspoon sugar tablespoons cashew nuts soaked and ground to paste salt to taste indian no onion no garlic (sattvic) lunch
kumror/kaddu posto recipe (spiced pumpkin with poppy seeds and tomatoes ),"500 grams kaddu (parangikai/ pumpkin) , cubed 2 tomatoes , chopped 2 teaspoons poppy seeds 2 cloves garlic , grated 1/2 teaspoon turmeric powder (haldi) 1 teaspoon garam masala powder 1 teaspoon coriander powder (dhania) 4 sprig coriander (dhania) leaves , finely chopped salt , to taste red chilli powder , to taste",bengali recipes,dinner,vegetarian,"to begin making the kumror/kaddu posto recipe, we will begin by heating a tablespoon of oil in a heavy bottomed sauce pan. add in the poppy seeds and saute for a few seconds on medium heat until you get a roasted aroma.next add in the grated garlic and saute for a few seconds. then add in the spices - turmeric powder, coriander powder and garam masala powder. stir for a few seconds and then finally stir in the tomatoes and the kumror/kaddu. finally add in the salt and red chilli powder and stir all the ingredients well until well combined and the kumror/kaddu gets well coated with the masala. turn the heat to low, cover the pan and cook the kumror/kaddu posto until it s soft and tender. you can optionally sprinkle a tablespoon of water if it becomes dry. the pumpkin and tomatoes release water, so most often there will not be any additional need to add water when you cook on low heat. keep stirring occasionally and cook until soft.once the kumror/kaddu posto is ready, check the salt and masala levels and adjust according to suit your taste. finally stir in the chopped coriander leaves and transfer to a serving dish.serve kumror/kaddu posto along with bengali luchi and boondi raita for a weekday lunch or dinner.",Total in 40 M,grams kaddu parangikai pumpkin cubed tomato chopped teaspoons poppy seeds cloves garlic grated teaspoon turmeric powder haldi teaspoon garam masala powder teaspoon coriander powder dhania sprig coriander dhania leaves finely chopped salt to taste red chilli powder to taste,grams kaddu parangikai pumpkin cubed tomato chopped teaspoons poppy seeds cloves garlic grated teaspoon turmeric powder haldi teaspoon garam masala powder teaspoon coriander powder dhania sprig coriander dhania leaves finely chopped salt to taste red chilli powder to taste bengali recipes vegetarian dinner
chow chow sambar recipe (chayote squash sambar),"1 cup arhar dal (split toor dal) 2 cups chow chow (chayote squash) , cut into cubes 30 grams tamarind , soaked in 1 cup of water 1 onion , sliced 2 tomatoes , chopped 1 tablespoon sambar powder 1/4 teaspoon turmeric powder (haldi) 4 sprig coriander (dhania) leaves , roughly chopped oil , as required salt , as required ingredients for tempering 1 teaspoon sesame (gingelly) oil , or vegetable oil 1 teaspoon mustard seeds (rai/ kadugu) 1/4 teaspoon asafoetida (hing) 1 dry red chillies 1 sprig curry leaves , roughly torn",south indian recipes,lunch,high protein vegetarian,"to begin making the chow chow sambar recipe, first pressure cook the toor dal along with turmeric and 2 cups of water for 2 whistles. let the pressure release naturally. once the dal is cooked, whisk the dal well and keep it aside.add a teaspoon of oil in a heavy bottoemd pan and heat it on a medium flame, add the sliced onion and saute for 2 minutes till the onions turns soft and translucent.add tomatoes, chow chow and cook till the chow chow is cooked 3/4th, stirring occasionally.once it is done, add the tamarind extract, sambar powder, salt to taste and let it simmer until the raw smell of the tamarind goes away and the chow chow is perfectly cooked.add the cooked toor dal, adjust the seasoning, add the roughly chopped coriander leaves and let it simmer for another 2 or 3 minutes and switch off.in another small tadka pan, add a teaspoon of sesame oil and allow it to heat. once the oil is heated up, add the mustard seeds, the dry red chilies and allow it to roast until lightly browned.add the asafoetida powder and curry leaves, stir it in and turn off the heat.pour this tempering over the cooked sambar and it is ready to be served. serve chow-chow sambar with homemade soft idli or masala dosa. you can even serve it with steamed rice and cauliflower thoran for your vegetarian lunch or dinner.",Total in 40 M,cup arhar dal split toor dal cups chow chow chayote squash cut into cubes grams tamarind soaked in cup of water onion sliced tomato chopped tablespoon sambar powder teaspoon turmeric powder haldi sprig coriander dhania leaves roughly chopped oil as required salt as required ingredients for tempering teaspoon sesame gingelly oil or vegetable oil teaspoon mustard seeds rai kadugu teaspoon asafoetida hing dry red chili sprig curry leaves roughly torn,cup arhar dal split toor dal cups chow chow chayote squash cut into cubes grams tamarind soaked in cup of water onion sliced tomato chopped tablespoon sambar powder teaspoon turmeric powder haldi sprig coriander dhania leaves roughly chopped oil as required salt as required ingredients for tempering teaspoon sesame gingelly oil or vegetable oil teaspoon mustard seeds rai kadugu teaspoon asafoetida hing dry red chili sprig curry leaves roughly torn south indian recipes high protein vegetarian lunch
padpe uppukari - harive soppu palya recipe,"300 grams spinach , washed and finely chopped 1/4 cup fresh coconut , grated 1 onion , finely chopped 4 cloves garlic , finely chopped 2 dry red chillies 1/2 teaspoon mustard seeds (rai/ kadugu) 1 teaspoon white urad dal (split) 1 sprig curry leaves 1 pinch ssp asafoetida (hing) salt , to taste",mangalorean,side dish,vegetarian,"to begin making the padpe uppukari harive soppu palya recipe, heat a kadai with oil on medium flame, add the mustard seeds and allow it to splutter, next add the urad dal, a pinch of hing, dry red chillies and curry leaves as well. allow the curry leaves to crackle. to this add chopped garlic and onions, saute till it the onions turn translucent.finally, add the chopped spinach leaves and cook the harive soppu palya.saute well till the spinach leaves wilts down. once done, stir in the grated coconut, salt to taste and mix harive soppu palya well. check the taste and adjust the seasonings accordingly. turn off the heat.transfer the harive soppu palya to a serving bowl and serve warm.serve the padpe uppukari harive soppu palya recipe along with steamed rice, dali thoy recipe (karwar style toor dal curry) and cabbage palya recipe for a complete meal.",Total in 30 M,grams spinach washed and finely chopped cup fresh coconut grated onion finely chopped cloves garlic finely chopped dry red chili teaspoon mustard seeds rai kadugu teaspoon white urad dal split sprig curry leaves pinch ssp asafoetida hing salt to taste,grams spinach washed and finely chopped cup fresh coconut grated onion finely chopped cloves garlic finely chopped dry red chili teaspoon mustard seeds rai kadugu teaspoon white urad dal split sprig curry leaves pinch ssp asafoetida hing salt to taste mangalorean vegetarian side dish
gujarati vaghareli mag recipe - whole green moong dal sabzi recipe,"1 cup green moong dal (whole) , soaked overnight 1 teaspoon cumin seeds (jeera) 1 sprig curry leaves , torn 2 inch ginger , finely chopped 1 green chillies , finely chopped or slit 1/2 teaspoon turmeric powder (haldi) 1 lemon , juice extracted 6 sprig coriander (dhania) leaves , finely chopped 1 teaspoon oil 1 teaspoon salt , or to taste",gujarati recipes﻿,lunch,high protein vegetarian,"to begin making the jain style whole green moong dal sabzi or vagharela mag, soak the moong dal overnight for about 6-7 hours.once soaked, cook the moong dal along with salt and with 1 of water including the water that it was soaked in. pressure cook for 3-4 whistles and turn off the heat. allow the pressure to release naturally, ensuring the moong dal is soft, tender and still remains grainy but not mushy. heat oil in a pan on medium heat; add the cumin seeds and allow them to crackle. stir in the green chillies, curry leaves ginger and turmeric powder, sauté for a few seconds. add the cooked moong dal and stir gently to combine all the ingredients.taste and adjust the salt to suit your taste.cover whole green moong dal sabzi / vagharela mag with a light fitting lid and simmer for 4 to 5 minutes until tender and all the ingredients are well combined.finally squeeze the lemon juice, add the coriander leaves and give the vagharela mag a gentle stir. turn off the heat and serve warm.serve jain style whole green moong dal sabzi recipe / vagharela mag with hot tawa parathas make a rich, wholesome and nutritious breakfast. serve jain style whole green moong dal sabzi for lunch along with pudina lahsun laccha paratha, gujarati wadi pulao recipe, boondi raita.",Total in 430 M,cup green moong dal whole soaked overnight teaspoon cumin seeds jeera sprig curry leaves torn inch ginger finely chopped green chili finely chopped or slit teaspoon turmeric powder haldi lemon juice extracted sprig coriander dhania leaves finely chopped teaspoon oil teaspoon salt or to taste,cup green moong dal whole soaked overnight teaspoon cumin seeds jeera sprig curry leaves torn inch ginger finely chopped green chili finely chopped or slit teaspoon turmeric powder haldi lemon juice extracted sprig coriander dhania leaves finely chopped teaspoon oil teaspoon salt or to taste gujarati recipes﻿ high protein vegetarian lunch
